sku,price,description,page_url
BIC-MAXI-HAZMAT,2.50,"The BIC Maxi is the lighter that's always there when you need it — consistent flame, ergonomic grip, and the kind of reliability that makes you keep one in every room, every bag, and every jacket pocket. Once you have one you'll wonder how you ever borrowed someone else's.",https://smoke-shop-in-a-box.onrender.com/bic-maxi-hazmat.html
BT-380VV,10.00,"The 380 is your reliable, no-nonsense battery — slim, pocket-friendly, and it just works with every cart you throw at it. Three voltage levels let you go light and flavorful or thick and cloudy depending on the mood. The battery that's always charged when you need it.",https://smoke-shop-in-a-box.onrender.com/bt-380vv.html
BT-GROOVE-BOLT-24PK,1152.00,"The Groove Bolt is clean, simple, and built to last — variable voltage 510 thread battery in a slim design that works with every cart without any fuss. Twist the bottom to change voltage, click to preheat, and go. The battery that never lets you down.",https://smoke-shop-in-a-box.onrender.com/bt-groove-bolt-24pk.html
BT-GROOVE-CARAPLUS,300,"The Cara Plus goes beyond carts — the coil-less quartz cup lets you load wax, shatter, or rosin directly without any attachment. Variable voltage concentrates vaporizer that fits in your front pocket and hits cleaner than you'd expect. One device for everything.",https://smoke-shop-in-a-box.onrender.com/bt-groove-caraplus.html
BT-PENJAMINCARKEY-ASST,25.00,"Disguised as a car key fob, the Penjamin is the most discreet 510 battery you'll ever own. Slip it onto your keychain and nobody gives it a second look — until you need it, and then it delivers every single time. Variable voltage, preheat mode, and enough power to last your whole day.",https://smoke-shop-in-a-box.onrender.com/bt-penjamincarkey-asst.html
BT-V846D2,50.00,"The SYNDR Dry Herb Vaporizer is made for herb purists who want actual vapor, not combustion — 880mAh, variable voltage temperature control, and a chamber that gets the most out of every pack. Real flavor, real sessions, no smoke.",https://smoke-shop-in-a-box.onrender.com/bt-v846d2.html
BUNDLE-PCLDISPFULL,1000.00,"The ultimate variety bundle — 100 hand pipes and 100 chillums packed together so you can find your favorite style without committing to just one. All glass, all different looks, all ready to use. The best way to figure out what you love.",https://smoke-shop-in-a-box.onrender.com/bundle-pcldispfull.html
CB-GLOB-TRAVEL,240,Glob Mops are cut specifically for quartz bangers — the precise tips reach every corner to wipe it clean after each dab so your next hit tastes just as good as your first. Small enough to toss in your kit and take anywhere.,https://smoke-shop-in-a-box.onrender.com/cb-glob-travel.html
CLE-RANDYBLK12,160,"Randy's Black Label cuts through resin like it's not even there — soak your piece, shake it, rinse it, and it looks like the day you bought it. No scrubbing, no soaking for hours. Your glass deserves to be clean, and this makes it easy.",https://smoke-shop-in-a-box.onrender.com/cle-randyblk12.html
FL SB5-HAZMAT,120,"Special Blue 5X Butane burns cleaner than anything you've tried before — ultra-refined to remove the impurities that clog torch jets and leave a taste behind. Refill your torch right and it lights faster, lasts longer, and never gets in the way of your session.",https://smoke-shop-in-a-box.onrender.com/fl-sb5-hazmat.html
GND-ZNC50,10.00,"The LuvBuds 50mm Zinc Grinder is built to last — four pieces of solid zinc alloy that grind sharp and smooth every single time, with a kief catcher at the bottom so nothing goes to waste. Toss it in your bag, use it for years. It just works.",https://smoke-shop-in-a-box.onrender.com/gnd-znc50.html
GROOVE-GND-RIPSTER,80,"The Ripster electronic grinder does in one click what takes a minute by hand — just drop your herb in, press the button, and get a perfectly fluffy, even grind every time. Window lid so you can see exactly how much you've got. USB rechargeable so it's always ready.",https://smoke-shop-in-a-box.onrender.com/groove-gnd-ripster.html
GROOVE-SPARK,479.76,"The Groove Spark Torch locks open so you can actually focus on your session — adjustable flame, reliable ignition every single time, and a build that feels solid in your hand. Colors vary so pick your favorite and keep it close.",https://smoke-shop-in-a-box.onrender.com/groove-spark.html
HP-OGCHILL,600.00,"The OG Chillum has been the go-to one-hitter for a reason — simple glass tube, clean draw, no fuss. Pack it tight and it's a perfect personal hit every time. Clear glass so you can see exactly what you're working with.",https://smoke-shop-in-a-box.onrender.com/hp-ogchill.html
LOOK-BEAR-ASST-5PK,560.00,"The Lookah Bear is the battery you hand to a friend and they immediately want one — the bear shape is cute, the performance is serious. 500mAh, variable voltage, and preheat mode in a form factor so fun you'll actually miss it when it's charging.",https://smoke-shop-in-a-box.onrender.com/look-bear-asst-5pk.html
LOOK-BEARTDYE-ASST-5PK,600.00,"Same great Bear battery, now with a tie-dye finish that's as fun to look at as it is to use. 500mAh keeps you going, variable voltage dials in your perfect hit, and preheat mode means thick pulls every time. The battery that's always the first thing people notice.",https://smoke-shop-in-a-box.onrender.com/look-beartdye-asst-5pk.html
LOOK-CAT-BL,720.00,"The Lookah Cat crouches in your palm and purrs with every hit — variable voltage, preheat mode, and a 750mAh battery that outlasts your longest sessions. The cat silhouette makes it impossible to leave on a table without getting compliments. Serious power, serious personality.",https://smoke-shop-in-a-box.onrender.com/look-cat-bl.html
LOOK-GTA-ASST-5PK,600.00,"The Lookah Guitar is a 350mAh variable voltage battery shaped like a mini guitar — it riffs on everything you expect from a vape battery and just makes it more fun. Slim, lightweight, and powerful enough for all-day use. The one your friends will borrow and forget to return.",https://smoke-shop-in-a-box.onrender.com/look-gta-asst-5pk.html
LOOK-SH-PRO-PLUS-BK,53.99,"The Seahorse Pro Plus is the nectar collector that actually gets it right — electric heat means no torch, no wait, just dip and rip. The coil hits the right temperature every time so you're tasting terps, not burning them. Compact enough to go anywhere, powerful enough to handle serious wax.",https://smoke-shop-in-a-box.onrender.com/look-sh-pro-plus-bk.html
LOOK-SHPROPLUS-ASST-6PK,1200.00,"The Spatter Seahorse Pro Plus brings the electric dab rig experience to your pocket — no torch, no rig, just tip-dip-rip. The spatter color pattern makes every unit look custom. 650mAh, two-in-one nectar collector and 510 battery.",https://smoke-shop-in-a-box.onrender.com/look-shproplus-asst-6pk.html
LOOK-SNAIL2.0-ASST-6PK,900.00,"The Snail 2.0 wraps around your finger like it was made for your hand — because it kind of was. Preheat mode, variable voltage, and a satisfying ergonomic shape that makes every pull feel intentional. Available in a range of colors so you can match your vibe.",https://smoke-shop-in-a-box.onrender.com/look-snail2-0-asst-6pk.html
LOOK-SNAIL2.0-BK,25.00,"The Snail 2.0 wraps around your finger and fits in the palm of your hand — it's the battery you never have to put down. Preheat mode unlocks thick pulls from any cart, and the 350mAh charges fast so you're never waiting long. Small size, big personality.",https://smoke-shop-in-a-box.onrender.com/look-snail2-0-bk.html
LOOK-UNICORNMINI-BK,1800.00,"The Unicorn Mini is a full portable electric dab rig that fits in your pocket — water filtration, precise temperature control, and hits smoother than most desktop setups. Torch-free dabbing finally done right.",https://smoke-shop-in-a-box.onrender.com/look-unicornmini-bk.html
OOZ-1187,20.00,"The Ooze Slim Twist is the pen battery everyone starts with and nobody stops using — simple twist dial for voltage, USB charger included, and it works flawlessly with every 510 cart on the market. Slim enough to forget it's in your pocket until you need it.",https://smoke-shop-in-a-box.onrender.com/ooz-1187.html
SE-BT-380VV-BLK,800.00,"The flashlight-style 380mAh battery is a classic for a reason — slim, reliable, preheat-capable, and it works with every 510 cart without question. Variable voltage so you dial in exactly the hit you want, USB charger included, and enough power to carry you through your whole day.",https://smoke-shop-in-a-box.onrender.com/se-bt-380vv-blk.html
SE-BT-DOPPLEGANGER,1200.00,"Two pods, one battery — the Doppelganger lets you load two different carts and switch between them on the fly. 650mAh preheat variable voltage with a dual-pod design that's genuinely unlike anything else out there. For the person who always wants options.",https://smoke-shop-in-a-box.onrender.com/se-bt-doppleganger.html
SE-BT-EV-THERMO-10PK,29.95,"The Hover EV shifts colors with heat so you always know when it's ready — from cold blue to hot orange, it's part battery, part mood ring. 650mAh keeps you going all day, and the variable voltage means you dial in the exact thickness you want from your cart. It's the battery people ask about.",https://smoke-shop-in-a-box.onrender.com/se-bt-ev-thermo-10pk.html
SE-BT-GASTANKDISP,1250.00,"The Gas Tank aesthetic meets real 510 performance — 650mAh, preheat mode, and variable voltage in a form factor that looks custom even straight out of the box. Thermocolor finish shifts with heat so you always know when it's warmed up and ready.",https://smoke-shop-in-a-box.onrender.com/se-bt-gastankdisp.html
SE-BT-IRONLUNG5P-SOLID,45.00,"The Iron Lung is dual-mode — use it as a standard 510 cart battery or flip into forced air mode and take a seriously thick, hands-free dab hit. 650mAh, variable voltage, and the kind of airflow that makes every cart hit like it's the first one. Solid color series.",https://smoke-shop-in-a-box.onrender.com/se-bt-ironlung5p-solid.html
SE-BT-IRONLUNG5P-THERMO,900.00,"The Iron Lung runs in two modes — standard 510 cart or forced air dab mode for the kind of thick, automatic hit that feels like a whole different device. The thermocolor finish shifts as it warms up so you can see it getting ready. 650mAh keeps you going all day.",https://smoke-shop-in-a-box.onrender.com/se-bt-ironlung5p-thermo.html
SE-CC-SPINSHROOM-BX-12PK,14.99,"The Mushroom Spinner Carb Cap spins your dab in circles, pushing heat across every surface of the banger and vaporizing everything completely. Full extraction, lower temps, way more flavor — and it looks incredible doing it. The upgrade your rig has been waiting for.",https://smoke-shop-in-a-box.onrender.com/se-cc-spinshroom-bx-12pk.html
SE-DSTM-POP-36PC-BX,360.00,"The downstem is the part that makes a bong actually filter. Glass-on-glass 19mm to 14mm in every size your rig could need — matte ground joints seal tight, percolation slits give you the bubble. Replace a cracked one or upgrade from plastic.",https://box.shopluvbuds.com/se-dstm-pop-36pc-bx.html
SE-GOG-FULLYWIG-14MM-BX,180.00,"A heady flower bowl with a handle changes everything — you never burn your fingers, you pack deeper, and the hand-worked glass swirling through the joint makes your setup look intentional and custom. 14mm fits most bongs and rigs.",https://smoke-shop-in-a-box.onrender.com/se-gog-fullywig-14mm-bx.html
SE-HP-2.5P40G-BX,4.99,"Tiny, colorful, and one-hit-ready. The 2.5-inch spoon is the first pipe to throw in a bag and the last one you'll lose — bowl's small so the sesh is personal, glass is thick so it can ride in the car. Each one comes out of the kiln different.",https://box.shopluvbuds.com/se-hp-2-5p40g-bx.html
SE-HP-3P55G-BX,7.99,"The daily driver. At 3.5 inches this spoon is big enough to load a proper bowl, small enough to live in your pocket next to your dispensary jar. Thick hand-blown glass, clean draw, and colorways that mean no one else's looks quite like yours.",https://box.shopluvbuds.com/se-hp-3p55g-bx.html
SE-HP-4P85G-BX,7.00,"Four-and-a-half inches is the Goldilocks spoon — big enough for a real bowl, hefty enough to feel well-made, small enough to still pocket. Every one is hand-blown with colorway that rotates so no two are alike. The daily driver for serious flower nights.",https://box.shopluvbuds.com/se-hp-4p85g-bx.html
SE-HP-CHILL3-BX,3.00,"The classic one-hitter, perfected. Pack it, hit it, pocket it — the 3"" chillum is fast, discreet, and surprisingly smooth for something so simple. In bold assorted colors so it's easy to find at the bottom of any bag.",https://smoke-shop-in-a-box.onrender.com/se-hp-chill3-bx.html
SE-HP-COLRGLYC45-BX,19.99,"Stick it in the freezer for 20 minutes and the glycerin-filled chamber chills your smoke to an ice-cold smoothness that you have to feel to believe. No ice, no mess — just cool, flavorful hits every single time. Once you try a glycerin spoon, regular pipes feel like a downgrade.",https://smoke-shop-in-a-box.onrender.com/se-hp-colrglyc45-bx.html
SE-HP-MOSAIC-BX-12PK,19.99,"Hand-worked mosaic glass that catches the light like stained glass — a pipe that's actually worth pulling out at a session. Four inches gives you a deeper bowl for flower days, and the worked glass keeps the heat off your fingers. One of a kind, every time.",https://box.shopluvbuds.com/se-hp-mosaic-bx-12pk.html
SE-HP-SPOON45-BX,14.99,The Ring Neck Spoon turns heads before you even light it — that coiled neck slows the smoke down and cools it slightly so every hit is softer and more flavorful than you'd expect from a hand pipe. It's a conversation starter AND a daily driver.,https://smoke-shop-in-a-box.onrender.com/se-hp-spoon45-bx.html
SE-QBNG-ETCHBCKT-14M-BX,14.99,"Etched quartz bangers hold heat longer than plain ones and release it more evenly — which means lower temperature dabs with more flavor and less cough. The hand-etched designs make every banger a tiny piece of art. 14mm male, fits most rigs.",https://smoke-shop-in-a-box.onrender.com/se-qbng-etchbckt-14m-bx.html
SE-WP-DONUTIRI5-BX,35.00,"The iridized Hypno Hoop Mini Rig will have you staring into it between dabs — the circular chamber creates a hypnotic swirl with every pull. Compact enough to take anywhere, hits clean enough to be your daily driver. The 14mm quartz banger is already included so you're ready to go right out of the box.",https://smoke-shop-in-a-box.onrender.com/se-wp-donutiri5-bx.html
SE-WP-FUMRECYC5-BX,40.00,"The Klein Stein is the glass nerd's rig — the iridized recycler pulls smoke through a continuous loop that filters and cools it until it's impossibly smooth. It's science, it's art, and it's the best dab you've had in a long time. Quartz banger included.",https://smoke-shop-in-a-box.onrender.com/se-wp-fumrecyc5-bx.html
SE-WP-INCYCFAB5-BX,40.00,"The Dyson Sphere is basically a science experiment you get to smoke out of — the iridized ball recycler spins your smoke in circles, stacking filtration and cooling it beautifully before every hit. It looks futuristic, it rips silky smooth, and it will be the most-talked-about piece at any session.",https://smoke-shop-in-a-box.onrender.com/se-wp-incycfab5-bx.html
SE-WP-LEAFNECKBASE,30.00,This iridescent beaker hits as good as it looks — the long leaf neck cools every pull before it reaches your lips. The swirling technicolor glass means yours is truly one of a kind. A piece that looks expensive and delivers every session.,https://smoke-shop-in-a-box.onrender.com/se-wp-leafneckbase.html
SE-WP-MARBLEDRIG6-BX,60.00,"The Miragestone Rig looks like a piece of art and hits like a champ — the marbled finish means no two look the same, and the built-in banger means you're ready to dab the second it's in your hands. Compact, smooth, and genuinely beautiful.",https://smoke-shop-in-a-box.onrender.com/se-wp-marbledrig6-bx.html
SE-WP-ORACLEORB-BX,79.99,The Oracle Orb does what a great pipe should — it looks stunning and feels incredible in your hand. The orb chamber and unique flower bowl combo makes every bowl feel intentional. Put it down and it's a conversation piece. Pick it up and it delivers every single time.,https://smoke-shop-in-a-box.onrender.com/se-wp-oracleorb-bx.html
SE-WP-TUBE10,30.00,Ten inches of iridized glass that catches the light from every angle and hits like a dream. The wide tube gives you massive airflow and the iridescent finish shifts color with every move you make. This is the centerpiece piece — the one that lives on your coffee table and impresses everyone who sees it.,https://smoke-shop-in-a-box.onrender.com/se-wp-tube10.html
SE-WP-TWISTBKR8,30.00,"That twisted neck is more than a flex — it slows the smoke down and cools it before it hits, turning every rip into something genuinely smooth. Hand-crafted, so no two are exactly alike. Classic beaker function meets a shape nobody else has.",https://smoke-shop-in-a-box.onrender.com/se-wp-twistbkr8.html
VP-TRPPEN2,1440,"The Terp Pen 2 is the simplest concentrate experience you'll ever have — dip the tip into your wax, inhale, done. No loading, no waiting, no mess. The 2.0 upgrade made the atomizer smoother and the draw more consistent. Your most grab-and-go concentrate option.",https://smoke-shop-in-a-box.onrender.com/vp-trppen2.html
WP-DONUTMACSTAR7,30.00,"The Slime Donut Macaroni-Star is the kind of piece that makes people stop and say 'what IS that?' — and then immediately ask where you got it. Beyond the wild shape, it rips smooth and hits clean every single time. Grab it before someone else does.",https://smoke-shop-in-a-box.onrender.com/wp-donutmacstar7.html
WP-SPOREORBRIG,15.00,"Small size, massive impact — the Spore Perc Dab Rig turns concentrates into the smoothest hits you've ever taken. That spore percolator scrubs harshness out of every dab so all you taste is pure flavor. It's the rig that makes you wonder how you ever dabbed without it.",https://smoke-shop-in-a-box.onrender.com/wp-sporeorbrig.html
WP-WIGWAGDONUT6,30.00,"The Wig Wag D'OH-nut is pure eye candy that actually delivers — the donut chamber percolates every hit into something silky and satisfying. The hand-pulled wig wag glass means yours looks different from everyone else's. Sweet to look at, sweeter to smoke.",https://smoke-shop-in-a-box.onrender.com/wp-wigwagdonut6.html
YOCAN-EVOLVE-PLUS-XL,480.00,"The Evolve Plus XL is the wax pen that wax pen lovers recommend — 1400mAh means you'll go days between charges, the XL coil loads more concentrate at once, and the hits are smooth enough to take back-to-back without thinking twice. The upgrade your sessions deserve.",https://smoke-shop-in-a-box.onrender.com/yocan-evolve-plus-xl.html
YOCAN-FLATPLUS,600.00,The Flat Plus is a 900mAh flat-form battery that disappears in your wallet pocket until you need it — variable voltage dialing and a satisfying press-and-hold preheat that primes your cart perfectly every time. Slim never looked this good.,https://smoke-shop-in-a-box.onrender.com/yocan-flatplus.html
YOCAN-KODOPRO,1200,"The Kodo Pro stands upright on any surface so you're never fumbling around looking for it — it just works with every 510 cart, hits consistently every time, and the compact box-mod shape fits anywhere. The battery that quietly becomes your favorite.",https://smoke-shop-in-a-box.onrender.com/yocan-kodopro.html
YOCAN-POCKET,900,"The Yocan Pocket is a wax pen that earns its name — 1400mAh battery, built-in wax chamber, and a hit so smooth you'll use it twice as often as you planned to. Load it, click it, pocket it. No torch, no dabber, no problem.",https://smoke-shop-in-a-box.onrender.com/yocan-pocket.html
ZAZA-GND-63-4PC-WNDW-ASST,1680.00,"The ZaZa 63mm Window Grinder lets you watch your herb grind through the transparent lid, so you know exactly when it's ready. Four-piece aluminum construction, sharp diamond-cut teeth, and a deep kief catcher that collects everything. The grinder you'll actually be proud to pull out.",https://smoke-shop-in-a-box.onrender.com/zaza-gnd-63-4pc-wndw-asst.html
ZZ114-48,2.50,"The classic orange pack that's been trusted for generations — Zig-Zag 1¼ Orange Papers roll smooth, burn even, and never fight you mid-session. Grab a few packs so you're never stuck without them when it counts.",https://smoke-shop-in-a-box.onrender.com/zz114-48.html
ZZ114C24,2.50,Zig-Zag Ultra Thin Cones are pre-rolled and ready to pack — the ultra-thin paper means the only thing you taste is what you put in them. Stock a few packs and you'll never have to think about rolling again.,https://smoke-shop-in-a-box.onrender.com/zz114c24.html
ZZHMP48,2.50,"Zig-Zag Organic Hemp Papers burn slow, taste like nothing, and roll like they were made for your hands — because they were. The 1¼ size hits the sweet spot for a solo or shared session. Grab a few packs and keep them stashed wherever you need them.",https://smoke-shop-in-a-box.onrender.com/zzhmp48.html
ZZUB11424,2.50,"Zig-Zag Unbleached Cones are pre-shaped so you can skip the roll entirely — just pack, twist, and light. The unbleached natural paper burns even and clean so all you taste is your herb. Grab a pack and you're set for a while.",https://smoke-shop-in-a-box.onrender.com/zzub11424.html
F-420,,"After a week of sessions, your glass loses the draw. Formula 420 brings it back in under a minute — shake, rinse, done. One bottle keeps your rig, pipe, and bowls looking (and hitting) like the day you bought them. Pair it with whatever you're picking up today.",https://box.shopluvbuds.com/f-420.html
RAW-REGTIP,,"Roll the joint your flower deserves. RAW's regular-size tips give you an airy, even draw without the cardboard aftertaste — the difference between a tight, hot-burning J and one that pulls like a dream. Fifty tips lasts most folks a solid month of rolling.",https://box.shopluvbuds.com/raw-regtip.html
RAW-CONE6PK,,"Grind, fill, twist, spark. Pre-rolled cones skip the rolling step and give you six packs of thirty-two — enough for the weekend, a hang, and a few solos. Unrefined RAW paper means a clean burn that lets your flower actually taste like itself.",https://box.shopluvbuds.com/raw-cone6pk.html
PFC-PIVOTPINE,,"Pocket-sized dabs done right. The Pivot folds into itself like a pocketknife — your concentrate goes in the cartridge, you press the button, you draw. Real dab flavor, no torch, no rig. The Pine limited edition drops that same signature Pivot performance in a forest green colorway.",https://box.shopluvbuds.com/pfc-pivotpine.html
PFC-PEAKPRO2-PEARL,,"The dab rig that thinks. Peak PRO 2 reads the temperature of your concentrate and adjusts mid-session for vapor that stays smooth from start to finish. Bluetooth to the app, four heat profiles, swappable glass. The Pearl colorway is the one you'll want sitting out.",https://box.shopluvbuds.com/pfc-peakpro2-pearl.html
WP-KHARING-DABRIG,,"Art you dab out of. This Keith Haring collab rig brings gallery-grade glass to your session — 9.5 inches of smooth percolation with a banger that handles any wax, shatter, or rosin you're bringing home. It's the kind of piece that changes the whole coffee table.",https://box.shopluvbuds.com/wp-kharing-dabrig.html
RAW-114,,"The rolling paper that rolled the world. Unbleached, unrefined, watermark-embossed to burn evenly all the way down. One booklet of 1¼ papers is the right size for a personal joint — not too tight, not too much, just right with whatever you picked up today.",https://box.shopluvbuds.com/raw-114.html
PFC-PEAKNEWPINE,,"The e-rig that started it all, reborn. The NEW Peak delivers chamber-dab vapor with longer battery life and a redesigned atomizer — so every session tastes like the first hit. The Pine limited edition wraps it in a forest green ceramic that looks as clean as it hits.",https://box.shopluvbuds.com/pfc-peaknewpine.html
ELMT-114,,"Ultra-thin rice papers that burn pure — no woody aftertaste, no hot spots, just your flower. The watermark draws smooth, the ash stays white, and one pack rolls a lot of joints. If you like to actually taste the terps, these are the papers.",https://box.shopluvbuds.com/elmt-114.html
HP-2.5P40G-SOLID,,"Small, solid, and gone by Friday. At 2.5 inches this is the pocket piece for quick sessions — keyring-size, loads a one-hitter bowl, hides anywhere. Solid glass colors (no patterns) make it the clean, discreet choice when you just want something that works.",https://box.shopluvbuds.com/hp-2-5p40g-solid.html
PS-MET100,,The cheapest thing between you and scooby snacks. Stainless steel screens keep your flower out of your mouth and your stem clear of gunk. A hundred screens means never running out — and your pipe draws cleanly every time.,https://box.shopluvbuds.com/ps-met100.html
RAW-CONE3PK,,"King size for when one joint feeds the whole circle. Pre-rolled RAW cones in the king format — three packs of thirty-two, unrefined paper, full-size burn. Grind, fill, twist, pass. The session-sized joint that's easier to roll than a pre-roll to buy.",https://box.shopluvbuds.com/raw-cone3pk.html
RAW-KSSLIM50,,"The shape most joints actually are. King slim is long enough for a proper session, narrow enough to roll tight — and fifty papers per booklet keeps you rolling for weeks. Unbleached RAW paper, clean burn, terps intact.",https://box.shopluvbuds.com/raw-ksslim50.html
BIC-LCWT50CU-HAZMAT,,"The lighter you've used your whole life, in artwork you'll actually leave on the counter. BIC Maxi reliability — consistent flame, thousands of sparks — with the Counterculture Collection's psychedelic-era graphics. The one that sparks your J and looks good doing it.",https://box.shopluvbuds.com/bic-lcwt50cu-hazmat.html
BT-V850D,,The battery that treats your cart right. Auto-draw means no button — just inhale — and variable voltage lets you dial in the cart you grabbed today without burning the coil. Thermo-colored housing shifts hues in your hand. 1000mAh gets you through the day.,https://box.shopluvbuds.com/bt-v850d.html
PFC-PEAKNEWCANYON,,"The classic e-rig in a desert-earth colorway. The NEW Peak delivers chamber-dab vapor with upgraded atomizer, longer battery, and four heat modes — now in Canyon, a rust-and-sand limited edition that doesn't look like anyone else's. Still the smoothest electric dab on the counter.",https://box.shopluvbuds.com/pfc-peaknewcanyon.html
CLIP-SOLID-HAZMAT,,"The lighter rollers have been using since 1959. Refillable, built to last, removable flint for using the Clipper as a poker when you need one. The solid-color version keeps the silhouette clean — just a reliable tool that lives on your tray.",https://box.shopluvbuds.com/clip-solid-hazmat.html
ST-CROSSCONE13PK-84MM,,"Three joints at once, twisted into a single cross. Smoke Temple's cross cones pre-roll a shareable novelty format that hits three pulls at every draw — the joint everyone asks about. Thirteen packs per box, one cross per pack, full session.",https://box.shopluvbuds.com/st-crosscone13pk-84mm.html
PFC-PEAKPRO2-ONYX,,"The dab rig that thinks. Peak PRO 2 reads the temperature of your concentrate and adjusts mid-session so vapor stays smooth from first hit to last. Bluetooth to the app, four heat modes, 3D chamber that vaporizes every drop. Onyx is the colorway that goes with everything.",https://box.shopluvbuds.com/pfc-peakpro2-onyx.html
PFC-PROXY2-ONYX,,"Dab rig, dab pen, however you want to use it. The Proxy is a travel chamber with a glass body in the box — slide it into the stick for pocket dabs, or pop it into any Proxy-compatible rig at home. Onyx black, same Puffco chamber flavor, half the size.",https://box.shopluvbuds.com/pfc-proxy2-onyx.html
PFC-PIVOTONYX,,"Pocket-sized dabs done right. The Pivot folds into itself like a pocketknife — your concentrate goes in the cartridge, you press the button, you draw. Real dab flavor, no torch, no rig. Onyx is the version that disappears into any pocket.",https://box.shopluvbuds.com/pfc-pivotonyx.html
PFC-PROXY2-HAZE,,"Dab rig, dab pen, however you want to use it. The Proxy is a travel chamber with a glass body in the box — slide it into the stick for pocket dabs, or pop it into any Proxy-compatible rig at home. Haze colorway brings a dreamy smoke gradient to the kit.",https://box.shopluvbuds.com/pfc-proxy2-haze.html
WP-BENT6TREE8,,"Six percolator arms mean six times the filtration, and you can feel it on the draw. This 8-inch hanger bong is sized for the couch and shaped for serious flower sessions — bent neck keeps your face at a comfortable angle, slime glass shifts colors as you use it.",https://box.shopluvbuds.com/wp-bent6tree8.html
BIC-LCWT1MR-HAZMAT,,"A classic BIC Maxi with marbled artwork across every unit. Same reliable flame that's outlasted every gimmick lighter on the market, now in a swirl graphic that lives on your table looking more like art than hardware.",https://box.shopluvbuds.com/bic-lcwt1mr-hazmat.html
BT-V853D,,"The battery you don't have to think about. Auto-draw means no button — just inhale and your cart hits — and variable voltage lets you match the cart you grabbed today. 1000mAh runs for a day of sessions, and the slim shape disappears in a jacket pocket.",https://box.shopluvbuds.com/bt-v853d.html
BT-GROOVE-CARA,,"Wax pen that tastes like a rig. The CARA uses a quartz coil cup so your rosin, shatter, or budder hits clean — no burnt wire taste — and variable voltage lets you tune the draw to your concentrate. Matte black body, pocket-ready, dab-bar portable.",https://box.shopluvbuds.com/bt-groove-cara.html
BIC-LCWT1ON-HAZMAT,,"The lighter that always works, in colors that actually pop. Neon edition BIC Maxi brings electric bright graphics to the most reliable flame in the game — same thousands-of-lights build, just now the one you can't lose at a party.",https://box.shopluvbuds.com/bic-lcwt1on-hazmat.html
ELMT-KS,,"King-size pure rice papers — the long format for session joints, the clean-burning paper for keeping your flower's flavor intact. Fifty papers per booklet, no hot spots, no woody aftertaste. Just your terps and the burn.",https://box.shopluvbuds.com/elmt-ks.html
BT-SMYLEINHALER-BLUE,,"A 510 battery that looks like an asthma inhaler. Discreet on purpose — slides into your pocket, draws like an inhaler, hits your cart when you press. Variable voltage dials in your flavor, and the blue finish is the stealth colorway.",https://box.shopluvbuds.com/bt-smyleinhaler-blue.html
WP-SG6,,"A water pipe you can actually take outside. Soft glass means it won't shatter if the tray tips, six inches means it travels, and the assorted colors mean it looks at home wherever you set it down. The bong that gets called when the rig stays inside.",https://box.shopluvbuds.com/wp-sg6.html
SE-WP-VINTAGEDMD,,"Crystal-cut glass, beaker base, flower bowl in the box. This 5.5-inch beaker looks like something from grandma's curio cabinet but hits like a modern bong — stable base that won't tip, diamond pattern that catches the light, and a draw that's pure and cool.",https://box.shopluvbuds.com/se-wp-vintagedmd.html
SE-HP-4FRMM-BX,,"Worked glass that doesn't feel like a factory job. The frit-and-marble surface treatment leaves tiny color flecks and decorative marbles along the body — it looks premium, hits smooth, and the 4-inch size fits in a jacket pocket without a problem.",https://box.shopluvbuds.com/se-hp-4frmm-bx.html
