sku,product_name,url,qr_png_relative
BIC-MAXI-HAZMAT,"BIC - Lighter Maxi, 50 Pk, Retail Display",https://box.shopluvbuds.com/bic-maxi-hazmat.html,qr-codes/BIC-MAXI-HAZMAT.png
BT-380VV,"LuvBuds - 380mAh Preheat Variable Voltage Battery & USB Charger (Flat Top), Assorted Colors",https://box.shopluvbuds.com/bt-380vv.html,qr-codes/BT-380VV.png
BT-GROOVE-BOLT-24PK,Groove Bolt 510,https://box.shopluvbuds.com/bt-groove-bolt-24pk.html,qr-codes/BT-GROOVE-BOLT-24PK.png
BT-GROOVE-CARAPLUS,Yocan Groove Cara Plus,https://box.shopluvbuds.com/bt-groove-caraplus.html,qr-codes/BT-GROOVE-CARAPLUS.png
BT-PENJAMINCARKEY-ASST,"SMYLE Labs - Penjamin Car Key Variable Voltage 510 Thread Battery, Assorted Colors",https://box.shopluvbuds.com/bt-penjamincarkey-asst.html,qr-codes/BT-PENJAMINCARKEY-ASST.png
BT-V846D2,"Pulsar - 5pk SYNDR Dry Herb Variable Voltage Battery 880mAh, POP Display",https://box.shopluvbuds.com/bt-v846d2.html,qr-codes/BT-V846D2.png
BUNDLE-PCLDISPFULL,POS Display (100 Pipes + 100 Chillums),https://box.shopluvbuds.com/bundle-pcldispfull.html,qr-codes/BUNDLE-PCLDISPFULL.png
CB-GLOB-TRAVEL,Glob Mops Travel Pack,https://box.shopluvbuds.com/cb-glob-travel.html,qr-codes/CB-GLOB-TRAVEL.png
CLE-RANDYBLK12,Randy’s Black Label,https://box.shopluvbuds.com/cle-randyblk12.html,qr-codes/CLE-RANDYBLK12.png
FL SB5-HAZMAT,Special Blue Butane,https://box.shopluvbuds.com/fl-sb5-hazmat.html,qr-codes/FL_SB5-HAZMAT.png
GND-ZNC50,"LuvBuds - 50mm Zinc 4 pc. Grinder, Assorted Colors May Vary",https://box.shopluvbuds.com/gnd-znc50.html,qr-codes/GND-ZNC50.png
GROOVE-GND-RIPSTER,Yocan Ripster Grinder,https://box.shopluvbuds.com/groove-gnd-ripster.html,qr-codes/GROOVE-GND-RIPSTER.png
GROOVE-SPARK,Groove Spark Torch,https://box.shopluvbuds.com/groove-spark.html,qr-codes/GROOVE-SPARK.png
HP-OGCHILL,OG Chillum 100pc Display,https://box.shopluvbuds.com/hp-ogchill.html,qr-codes/HP-OGCHILL.png
LOOK-BEAR-ASST-5PK,Lookah Bear Assorted,https://box.shopluvbuds.com/look-bear-asst-5pk.html,qr-codes/LOOK-BEAR-ASST-5PK.png
LOOK-BEARTDYE-ASST-5PK,Lookah Bear Tie-Dye,https://box.shopluvbuds.com/look-beartdye-asst-5pk.html,qr-codes/LOOK-BEARTDYE-ASST-5PK.png
LOOK-CAT-BL,Lookah Cat,https://box.shopluvbuds.com/look-cat-bl.html,qr-codes/LOOK-CAT-BL.png
LOOK-GTA-ASST-5PK,Lookah Guitar,https://box.shopluvbuds.com/look-gta-asst-5pk.html,qr-codes/LOOK-GTA-ASST-5PK.png
LOOK-SH-PRO-PLUS-BK,"Lookah - Seahorse Pro Plus, Black",https://box.shopluvbuds.com/look-sh-pro-plus-bk.html,qr-codes/LOOK-SH-PRO-PLUS-BK.png
LOOK-SHPROPLUS-ASST-6PK,Lookah Seahorse Pro Plus,https://box.shopluvbuds.com/look-shproplus-asst-6pk.html,qr-codes/LOOK-SHPROPLUS-ASST-6PK.png
LOOK-SNAIL2.0-ASST-6PK,Lookah Snail 2.0,https://box.shopluvbuds.com/look-snail2-0-asst-6pk.html,qr-codes/LOOK-SNAIL2.0-ASST-6PK.png
LOOK-SNAIL2.0-BK,"Lookah - Snail 2.0 350mAh Variable Voltage Battery, Black",https://box.shopluvbuds.com/look-snail2-0-bk.html,qr-codes/LOOK-SNAIL2.0-BK.png
LOOK-UNICORNMINI-BK,Lookah Unicorn Mini,https://box.shopluvbuds.com/look-unicornmini-bk.html,qr-codes/LOOK-UNICORNMINI-BK.png
OOZ-1187,"Ooze - Slim Twist Pen 2.0 Battery 510 Thread + USB Charger, Assorted Colors",https://box.shopluvbuds.com/ooz-1187.html,qr-codes/OOZ-1187.png
SE-BT-380VV-BLK,SirEEL 380 Variable Voltage,https://box.shopluvbuds.com/se-bt-380vv-blk.html,qr-codes/SE-BT-380VV-BLK.png
SE-BT-DOPPLEGANGER,SirEEL Doppelganger,https://box.shopluvbuds.com/se-bt-doppleganger.html,qr-codes/SE-BT-DOPPLEGANGER.png
SE-BT-EV-THERMO-10PK,"SirEEL - 10pk Hover EV 650mAh Variable Voltage Battery, Assorted Thermo Colors May Vary",https://box.shopluvbuds.com/se-bt-ev-thermo-10pk.html,qr-codes/SE-BT-EV-THERMO-10PK.png
SE-BT-GASTANKDISP,SirEEL Gas Tank Thermals,https://box.shopluvbuds.com/se-bt-gastankdisp.html,qr-codes/SE-BT-GASTANKDISP.png
SE-BT-IRONLUNG5P-SOLID,"SirEEL - 5pc Iron Lung 650mAh Dual Mode Variable Voltage Dab and Forced Air Battery, Solid Color Series",https://box.shopluvbuds.com/se-bt-ironlung5p-solid.html,qr-codes/SE-BT-IRONLUNG5P-SOLID.png
SE-BT-IRONLUNG5P-THERMO,SirEEL Iron Lung,https://box.shopluvbuds.com/se-bt-ironlung5p-thermo.html,qr-codes/SE-BT-IRONLUNG5P-THERMO.png
SE-CC-SPINSHROOM-BX-12PK,Mushroom Spinner Carb Cap,https://box.shopluvbuds.com/se-cc-spinshroom-bx-12pk.html,qr-codes/SE-CC-SPINSHROOM-BX-12PK.png
SE-DSTM-POP-36PC-BX,Glass-on-Glass Downstems,https://box.shopluvbuds.com/se-dstm-pop-36pc-bx.html,qr-codes/SE-DSTM-POP-36PC-BX.png
SE-GOG-FULLYWIG-14MM-BX,SirEEL Carb Caps,https://box.shopluvbuds.com/se-gog-fullywig-14mm-bx.html,qr-codes/SE-GOG-FULLYWIG-14MM-BX.png
SE-HP-2.5P40G-BX,"2.5"" Assorted Glass Pipe",https://box.shopluvbuds.com/se-hp-2-5p40g-bx.html,qr-codes/SE-HP-2.5P40G-BX.png
SE-HP-3P55G-BX,"3.5"" Glass Spoon Pipe",https://box.shopluvbuds.com/se-hp-3p55g-bx.html,qr-codes/SE-HP-3P55G-BX.png
SE-HP-4P85G-BX,"4.5"" Assorted Glass Pipe",https://box.shopluvbuds.com/se-hp-4p85g-bx.html,qr-codes/SE-HP-4P85G-BX.png
SE-HP-CHILL3-BX,"SirEEL - 36pc 3"" Assorted Bulk Chillums, Assorted Colors May Vary, Retail Packaging",https://box.shopluvbuds.com/se-hp-chill3-bx.html,qr-codes/SE-HP-CHILL3-BX.png
SE-HP-COLRGLYC45-BX,Freezable Glycerin Spoon,https://box.shopluvbuds.com/se-hp-colrglyc45-bx.html,qr-codes/SE-HP-COLRGLYC45-BX.png
SE-HP-MOSAIC-BX-12PK,"4"" Mosaic Glass Pipe",https://box.shopluvbuds.com/se-hp-mosaic-bx-12pk.html,qr-codes/SE-HP-MOSAIC-BX-12PK.png
SE-HP-SPOON45-BX,SirEEL Ring Neck Pipe,https://box.shopluvbuds.com/se-hp-spoon45-bx.html,qr-codes/SE-HP-SPOON45-BX.png
SE-QBNG-ETCHBCKT-14M-BX,14mm Etched Quartz Banger,https://box.shopluvbuds.com/se-qbng-etchbckt-14m-bx.html,qr-codes/SE-QBNG-ETCHBCKT-14M-BX.png
SE-WP-DONUTIRI5-BX,Hypno Hoop,https://box.shopluvbuds.com/se-wp-donutiri5-bx.html,qr-codes/SE-WP-DONUTIRI5-BX.png
SE-WP-FUMRECYC5-BX,Kleinstein,https://box.shopluvbuds.com/se-wp-fumrecyc5-bx.html,qr-codes/SE-WP-FUMRECYC5-BX.png
SE-WP-INCYCFAB5-BX,Dyson Sphere,https://box.shopluvbuds.com/se-wp-incycfab5-bx.html,qr-codes/SE-WP-INCYCFAB5-BX.png
SE-WP-LEAFNECKBASE,"SirEEL - 9.75"" 420 Drip and Rip Technicolor Beaker Bong with Bowl, Assorted Colors May Vary",https://box.shopluvbuds.com/se-wp-leafneckbase.html,qr-codes/SE-WP-LEAFNECKBASE.png
SE-WP-MARBLEDRIG6-BX,Mirage Rig,https://box.shopluvbuds.com/se-wp-marbledrig6-bx.html,qr-codes/SE-WP-MARBLEDRIG6-BX.png
SE-WP-ORACLEORB-BX,Oracle Orb,https://box.shopluvbuds.com/se-wp-oracleorb-bx.html,qr-codes/SE-WP-ORACLEORB-BX.png
SE-WP-TUBE10,"SirEEL - 10"" Iridized Illusion Bong with Flower Bowl, Assorted Colors May Vary",https://box.shopluvbuds.com/se-wp-tube10.html,qr-codes/SE-WP-TUBE10.png
SE-WP-TWISTBKR8,"SirEEL - 8"" Twisted Neck Beaker Bong with Flower Bowl, Clear",https://box.shopluvbuds.com/se-wp-twistbkr8.html,qr-codes/SE-WP-TWISTBKR8.png
VP-TRPPEN2,Yocan Boundless Terp Pen,https://box.shopluvbuds.com/vp-trppen2.html,qr-codes/VP-TRPPEN2.png
WP-DONUTMACSTAR7,"LuvBuds - 7"" Slime Donut Macaroni-Star Hanger Bong/Rig, Assorted Colors May Vary",https://box.shopluvbuds.com/wp-donutmacstar7.html,qr-codes/WP-DONUTMACSTAR7.png
WP-SPOREORBRIG,"LuvBuds - 7"" Spore Perc Dab Rig with Banger, Assorted Colors May Vary",https://box.shopluvbuds.com/wp-sporeorbrig.html,qr-codes/WP-SPOREORBRIG.png
WP-WIGWAGDONUT6,"LuvBuds - 6"" Wig Wag D'OH-nut Dreams Bong with Bowl, Assorted Colors May Vary",https://box.shopluvbuds.com/wp-wigwagdonut6.html,qr-codes/WP-WIGWAGDONUT6.png
YOCAN-EVOLVE-PLUS-XL,Yocan Evolve XL,https://box.shopluvbuds.com/yocan-evolve-plus-xl.html,qr-codes/YOCAN-EVOLVE-PLUS-XL.png
YOCAN-FLATPLUS,Yocan Flat Plus,https://box.shopluvbuds.com/yocan-flatplus.html,qr-codes/YOCAN-FLATPLUS.png
YOCAN-KODOPRO,Yocan Kodo Pro,https://box.shopluvbuds.com/yocan-kodopro.html,qr-codes/YOCAN-KODOPRO.png
YOCAN-POCKET,Yocan Pocket,https://box.shopluvbuds.com/yocan-pocket.html,qr-codes/YOCAN-POCKET.png
ZAZA-GND-63-4PC-WNDW-ASST,ZaZa 63mm Window Grinder,https://box.shopluvbuds.com/zaza-gnd-63-4pc-wndw-asst.html,qr-codes/ZAZA-GND-63-4PC-WNDW-ASST.png
ZZ114-48,"Zig-Zag - 48pk ""Orange"" Papers, 1 1/4, 32ct, Retail Display",https://box.shopluvbuds.com/zz114-48.html,qr-codes/ZZ114-48.png
ZZ114C24,"Zig-Zag - Ultra Thin Cones, 1 1/4, 24ct, 6pk, Promotional Pack",https://box.shopluvbuds.com/zz114c24.html,qr-codes/ZZ114C24.png
ZZHMP48,"Zig-Zag - Organic Hemp Papers, 1 1/4, 48ct, Promotional Pack",https://box.shopluvbuds.com/zzhmp48.html,qr-codes/ZZHMP48.png
ZZUB11424,"Zig-Zag - Unbleached Cones, 1 1/4, 24ct, 6pk",https://box.shopluvbuds.com/zzub11424.html,qr-codes/ZZUB11424.png
F-420,Formula 420 Glass Cleaner,https://box.shopluvbuds.com/f-420.html,qr-codes/F-420.png
RAW-REGTIP,RAW Regular Tips — 50pk,https://box.shopluvbuds.com/raw-regtip.html,qr-codes/RAW-REGTIP.png
RAW-CONE6PK,RAW Classic Cones 1¼ — 6pk,https://box.shopluvbuds.com/raw-cone6pk.html,qr-codes/RAW-CONE6PK.png
PFC-PIVOTPINE,Puffco Pivot — Pine Edition,https://box.shopluvbuds.com/pfc-pivotpine.html,qr-codes/PFC-PIVOTPINE.png
PFC-PEAKPRO2-PEARL,Puffco Peak PRO 2 — Pearl,https://box.shopluvbuds.com/pfc-peakpro2-pearl.html,qr-codes/PFC-PEAKPRO2-PEARL.png
WP-KHARING-DABRIG,"K. Haring 9.5"" Concentrate Rig",https://box.shopluvbuds.com/wp-kharing-dabrig.html,qr-codes/WP-KHARING-DABRIG.png
RAW-114,RAW Classic Papers 1¼,https://box.shopluvbuds.com/raw-114.html,qr-codes/RAW-114.png
PFC-PEAKNEWPINE,Puffco Peak (NEW) — Pine Edition,https://box.shopluvbuds.com/pfc-peaknewpine.html,qr-codes/PFC-PEAKNEWPINE.png
ELMT-114,Elements Rice Papers 1¼,https://box.shopluvbuds.com/elmt-114.html,qr-codes/ELMT-114.png
HP-2.5P40G-SOLID,"2.5"" Solid-Color Glass Pipe",https://box.shopluvbuds.com/hp-2-5p40g-solid.html,qr-codes/HP-2.5P40G-SOLID.png
PS-MET100,Stainless Steel Pipe Screens,https://box.shopluvbuds.com/ps-met100.html,qr-codes/PS-MET100.png
RAW-CONE3PK,RAW King Size Cones — 3pk,https://box.shopluvbuds.com/raw-cone3pk.html,qr-codes/RAW-CONE3PK.png
RAW-KSSLIM50,RAW King Slim Papers,https://box.shopluvbuds.com/raw-ksslim50.html,qr-codes/RAW-KSSLIM50.png
BIC-LCWT50CU-HAZMAT,BIC Maxi — Counterculture Edition,https://box.shopluvbuds.com/bic-lcwt50cu-hazmat.html,qr-codes/BIC-LCWT50CU-HAZMAT.png
BT-V850D,Pulsar 510 DL 2.0 PRO — Thermo,https://box.shopluvbuds.com/bt-v850d.html,qr-codes/BT-V850D.png
PFC-PEAKNEWCANYON,Puffco Peak (NEW) — Canyon Edition,https://box.shopluvbuds.com/pfc-peaknewcanyon.html,qr-codes/PFC-PEAKNEWCANYON.png
CLIP-SOLID-HAZMAT,Clipper Classic Lighter,https://box.shopluvbuds.com/clip-solid-hazmat.html,qr-codes/CLIP-SOLID-HAZMAT.png
ST-CROSSCONE13PK-84MM,Smoke Temple Cross Cones,https://box.shopluvbuds.com/st-crosscone13pk-84mm.html,qr-codes/ST-CROSSCONE13PK-84MM.png
PFC-PEAKPRO2-ONYX,Puffco Peak PRO 2 — Onyx,https://box.shopluvbuds.com/pfc-peakpro2-onyx.html,qr-codes/PFC-PEAKPRO2-ONYX.png
PFC-PROXY2-ONYX,Puffco Proxy Kit — Onyx,https://box.shopluvbuds.com/pfc-proxy2-onyx.html,qr-codes/PFC-PROXY2-ONYX.png
PFC-PIVOTONYX,Puffco Pivot — Onyx,https://box.shopluvbuds.com/pfc-pivotonyx.html,qr-codes/PFC-PIVOTONYX.png
PFC-PROXY2-HAZE,Puffco Proxy Kit — Haze,https://box.shopluvbuds.com/pfc-proxy2-haze.html,qr-codes/PFC-PROXY2-HAZE.png
WP-BENT6TREE8,"8"" 6-Arm Tree Perc Hanger Rig",https://box.shopluvbuds.com/wp-bent6tree8.html,qr-codes/WP-BENT6TREE8.png
BIC-LCWT1MR-HAZMAT,BIC Maxi — Marble Edition,https://box.shopluvbuds.com/bic-lcwt1mr-hazmat.html,qr-codes/BIC-LCWT1MR-HAZMAT.png
BT-V853D,Pulsar 510 DL 2.0 PRO Auto-Draw,https://box.shopluvbuds.com/bt-v853d.html,qr-codes/BT-V853D.png
BT-GROOVE-CARA,Groove CARA Concentrate Pen,https://box.shopluvbuds.com/bt-groove-cara.html,qr-codes/BT-GROOVE-CARA.png
BIC-LCWT1ON-HAZMAT,BIC Maxi — Neon Edition,https://box.shopluvbuds.com/bic-lcwt1on-hazmat.html,qr-codes/BIC-LCWT1ON-HAZMAT.png
ELMT-KS,Elements King Size Rice Papers,https://box.shopluvbuds.com/elmt-ks.html,qr-codes/ELMT-KS.png
BT-SMYLEINHALER-BLUE,SMYLE Labs Inhaler Battery,https://box.shopluvbuds.com/bt-smyleinhaler-blue.html,qr-codes/BT-SMYLEINHALER-BLUE.png
WP-SG6,"6"" Soft Glass Water Pipe",https://box.shopluvbuds.com/wp-sg6.html,qr-codes/WP-SG6.png
SE-WP-VINTAGEDMD,"5.5"" Vintage Diamond Beaker Bong",https://box.shopluvbuds.com/se-wp-vintagedmd.html,qr-codes/SE-WP-VINTAGEDMD.png
SE-HP-4FRMM-BX,"4"" Frit & Multi Marble Pipe",https://box.shopluvbuds.com/se-hp-4frmm-bx.html,qr-codes/SE-HP-4FRMM-BX.png
HP-CHILL3,"3"" Glass Chillum",https://box.shopluvbuds.com/hp-chill3.html,qr-codes/HP-CHILL3.png
HP-2.5P40G,"2.5"" Glass Hand Pipe",https://box.shopluvbuds.com/hp-2.5p40g.html,qr-codes/HP-2.5P40G.png
BT-350VV,350mAh Variable Voltage Battery,https://box.shopluvbuds.com/bt-350vv.html,qr-codes/BT-350VV.png
PFC-PROXYCOREKIT,"Puffco Proxy Core Kit, Onyx",https://box.shopluvbuds.com/pfc-proxycorekit.html,qr-codes/PFC-PROXYCOREKIT.png
OOZ-1453,Ooze HiLo Conceal 510 Battery,https://box.shopluvbuds.com/ooz-1453.html,qr-codes/OOZ-1453.png
BT-V985D,Pulsar 510 DL 5.0 Auto-Draw Battery,https://box.shopluvbuds.com/bt-v985d.html,qr-codes/BT-V985D.png
KA-WP-STEELCHILL13,"13"" Chill Stainless Steel Bong",https://box.shopluvbuds.com/ka-wp-steelchill13.html,qr-codes/KA-WP-STEELCHILL13.png
ZZUT48,"Zig-Zag Ultra Thin 1 1/4"" Rolling Papers",https://box.shopluvbuds.com/zzut48.html,qr-codes/ZZUT48.png
PFC-PEAKNEWBLK,"The New Puffco Peak, Onyx",https://box.shopluvbuds.com/pfc-peaknewblk.html,qr-codes/PFC-PEAKNEWBLK.png
BT-V1180D,"Pulsar 510 DL 5.0 Battery, Thermo Series",https://box.shopluvbuds.com/bt-v1180d.html,qr-codes/BT-V1180D.png
SE-BT-380VV-BX-24PK,SirEEL 380mAh Preheat Battery,https://box.shopluvbuds.com/se-bt-380vv-bx-24pk.html,qr-codes/SE-BT-380VV-BX-24PK.png
OOZ-1379,Ooze Smart Battery 650mAh,https://box.shopluvbuds.com/ooz-1379.html,qr-codes/OOZ-1379.png
CLIP-PROMO-HAZMAT,Clipper Large Lighter,https://box.shopluvbuds.com/clip-promo-hazmat.html,qr-codes/CLIP-PROMO-HAZMAT.png
HP-3P55G,"3.5"" Glass Hand Pipe",https://box.shopluvbuds.com/hp-3p55g.html,qr-codes/HP-3P55G.png
PC-6PCK-PINK-MC,"Blazy Susan 1 1/4"" Pink Pre-Rolled Cones, 6 Pack",https://box.shopluvbuds.com/pc-6pck-pink-mc.html,qr-codes/PC-6PCK-PINK-MC.png
POP-114-VARIETY-UB2.0,"Pop Cones Unbleached 1 1/4"" Variety, 25 Pack",https://box.shopluvbuds.com/pop-114-variety-ub2.0.html,qr-codes/POP-114-VARIETY-UB2.0.png
SE-WP-BEAKUV,"10"" SirEEL UV Beaker Bong",https://box.shopluvbuds.com/se-wp-beakuv.html,qr-codes/SE-WP-BEAKUV.png
HP-4P85G,"4.5"" Glass Hand Pipe",https://box.shopluvbuds.com/hp-4p85g.html,qr-codes/HP-4P85G.png
CCELL-M4BPRO-ASST,CCELL M4B Pro 290mAh Battery,https://box.shopluvbuds.com/ccell-m4bpro-asst.html,qr-codes/CCELL-M4BPRO-ASST.png
PFC-PEAKNEWSAPPHIRE,"The New Puffco Peak, Sapphire Edition",https://box.shopluvbuds.com/pfc-peaknewsapphire.html,qr-codes/PFC-PEAKNEWSAPPHIRE.png
NWTN-WP-DECOGP-ASST,NWTN Deco Gravity Bong,https://box.shopluvbuds.com/nwtn-wp-decogp-asst.html,qr-codes/NWTN-WP-DECOGP-ASST.png
RAWCONEDISP20PK114,"RAW Classic 1 1/4"" Pre-Rolled Cones, 20 Pack",https://box.shopluvbuds.com/rawconedisp20pk114.html,qr-codes/RAWCONEDISP20PK114.png
GRAV-PBS.0,"GRAV 3"" Spherical Pocket Bubbler",https://box.shopluvbuds.com/grav-pbs.0.html,qr-codes/GRAV-PBS.0.png
PFC-PEAKNEWZEST,"The New Puffco Peak, Zest Edition",https://box.shopluvbuds.com/pfc-peaknewzest.html,qr-codes/PFC-PEAKNEWZEST.png
BT-V852D,"Pulsar 510 DL 2.0 PRO Vape Bar, Mist Series",https://box.shopluvbuds.com/bt-v852d.html,qr-codes/BT-V852D.png
YOCAN-ZIVAPRO-ASST-10PK,Yocan ZIVA PRO 650mAh Battery,https://box.shopluvbuds.com/yocan-zivapro-asst-10pk.html,qr-codes/YOCAN-ZIVAPRO-ASST-10PK.png
